ID,speaker,portrait,Text
1,소제목,,~익스트림 제트~
2,해설자,,아! 레이나! 라이벌인 ‘레바테인’의 요르 선수를 제압했습니다!
3,해설자,,월드 EXJ 챔피언십의 우승 팀은 ‘배틀 위치스’ 입니다!
4,기자,,축하드립니다. 레이나 선수.
5,기자,,"강팀인 ‘레바테인’를 꺾고 우승 팀이 되었는데, 팀 리더로서 소감이 궁금합니다."
6,레이나,10001,팀원들과 호흡이 잘 맞았던 것도 있지만 운도 따라 줬던 것..
7,기자,,뭐야! 어떻게 된… 꺄아아악
8,,,"현재.
공중도시 ‘멘 네페르’의 한구석."
9,레이나,10001,‘커맨드AI’는 추적되고 있어?
10,클레아,10002,지금까지 모은 로봇들의 패턴을 분석해서 추적 알고리즘을 만들고 있어.
11,클레아,10002,아직 엘리트 로봇에게서 얻은 정보가 부족해.
12,루나,10003,이제 많이 익숙해진 것 같습니다.
13,루나,10003,우리 ‘배틀 위치스’는 역시 ‘익스트림 제트’의 신입니다.
14,클레아,10002,루나.. 이건 ‘익스트림 제트’랑 다르다고 몇 번을 말해..
15,클레아,10002,안전 또 안전!
16,레이나,10001,클레아 말이 맞아 계속해서 엘리트 로봇들의 패턴이 다양해지고 있어.
17,레이나,10001,계속 조심하고 패턴을 익혀야 해.
18,,,레이나는 벽에 붙여진 ‘배틀 위치스’의 포스터를 바라보았다.
19,,,"‘배틀 위치스’
"
20,,,"인기 스포츠였던 ‘익스트림 제트’의 팀이었던 그들은 얼마 전
레지스탕스가 발표한 정보를 듣고 다시 한번 하늘로 날아올랐다."
21,라디오,,다른 레지스탕스들과 일반 시민들에게 알립니다.
22,라디오,,"첫째, 로봇은 인간보다 무거워 우리 인간들 만큼 정교한 비행이 어렵습니다.
"
23,라디오,,"둘째, 생산시설은 ‘커맨드AI’가 지키고 있고 그걸 파괴하면 생산을 멈출 수 있습니다.
"
24,라디오,,"셋째, 일부 ‘엘리트 로봇’을 제외하면 공격이 단조롭습니다."
25,라디오,,"넷째, 어디까지나 가설이지만 ‘커맨드AI’에는 ‘와쳐’의 위치가 담긴 네트워크 코드가 있습니다."
26,라디오,,어쩌면 네트워크를 장악한 ‘와쳐’를 파괴한다면 모든 로봇들을 정지시킬 수 있을 겁니다.
27,라디오,,여기까지 저희가 알아낸 정보입니다. 부디 저희의 힘이 되어주시길 바랍니다.
28,루나,10003,이제 이것도 질립니다.
29,레이나,10001,야.. 그래도 에너지 바라도 있는 게 어디야.
30,레이나,10001,그것도 구하기 얼마나 힘든지 알아?
31,루나,10003,저는 아이스크림이 제일 먹고 싶습니다.
32,클레아,10002,나는 싱싱한 과일이 먹고 싶어.
33,레이나,10001,난.. 스파게티..
34,레이나,10001,그만! 그만! 배만 더 고프잖아!
35,클레아,10002,적기체 확인.
36,레이나,10001,쟤들은 쉬지도 않는구나.
37,루나,10003,저건 부럽습니다.
38,레이나,10001,후.. 자 다시 가볼까?
